id,taste_cluster,taste_center_distance
296051,0,0.76193994
256763,10,0.7933357
306590,12,0.92385644
52289,4,0.93161637
433071,11,0.83395284
218648,13,0.8595932
146447,15,0.88662916
256734,2,0.9563362
212028,3,0.7665698
408303,14,0.8952042
25512,8,0.9385261
363904,4,0.8743006
481157,10,0.8759997
18719,13,0.86197543
335539,3,0.7599703
303944,2,0.96521807
443720,3,0.7330872
407098,2,0.91982484
285568,10,0.52615446
432027,13,0.9694123
207743,14,0.8893786
299968,2,0.8924844
464946,4,0.75489116
130642,2,0.96476865
395202,12,0.6948024
335495,8,0.485107
192542,5,0.8253588
315110,2,0.90833825
368878,10,0.84913707
147563,13,0.9558334
207466,5,0.7991244
193719,2,0.9381661
251976,11,0.92537683
334501,2,0.9477715
123117,3,0.91317195
38852,0,0.9030338
181808,2,0.9630439
291073,2,0.91400176
186143,15,0.91037506
250232,9,0.7958863
411859,15,0.8938287
382731,3,0.81684715
134787,4,0.8834927
154576,14,0.83494854
222030,0,0.69080085
52565,13,0.95207816
103393,2,0.9895772
358626,2,0.9915581
53152,0,0.87944585
211322,6,0.85437083
251714,10,0.7995737
343821,3,0.7925185
168420,2,1.039557
402351,5,0.82423025
319381,2,0.8941501
489707,2,0.89687675
389301,3,0.79455155
29916,14,0.774225
36482,13,0.99131054
98844,15,0.7860167
65207,6,0.730706
496766,1,0.8854935
140746,15,0.8134682
302344,14,0.87998587
56036,10,0.8402947
74284,2,0.9525996
361017,2,0.8788795
437219,2,0.945926
467076,10,0.9012142
327141,11,0.86734295
342698,3,0.8188988
304814,2,0.96239305
387488,11,0.8388436
81280,3,0.78637284
261482,1,0.82900065
77380,10,0.8881966
240369,2,0.9361002
340730,15,0.7925584
334951,2,0.93443817
305987,12,0.85526544
337893,13,0.93185806
157160,13,0.981978
35632,11,0.7890099
141712,15,0.86118406
21357,1,0.8117202
205443,2,0.94349337
201813,8,0.5636453
198343,6,0.7882428
279176,8,0.88418937
532472,2,0.9242399
32204,13,0.87329185
378540,4,0.89527625
293049,0,0.7563691
104773,0,0.83584005
129919,0,0.7974559
391335,11,0.8766948
383339,4,0.95003116
96727,5,0.851516
474258,13,0.8428381
209322,15,0.94053406
60454,5,0.87302023
240447,8,0.7569537
375376,14,0.8635172
160398,15,0.84309286
350400,14,0.8621151
280251,8,0.47472107
242761,8,0.48111317
11878,9,0.843435
385823,2,0.92648965
22711,2,0.93244714
98821,10,0.80764085
152534,2,0.9625495
423516,1,0.88136756
418756,2,0.9400895
481195,7,0.8027559
53312,9,0.858493
51922,4,0.9088656
11363,2,0.97401345
63131,13,0.9253763
108819,13,1.0036664
344420,2,0.9788803
292317,12,0.7264172
79313,1,0.91124666
282644,2,0.9307447
19953,2,0.9334295
97808,7,0.91731906
16451,2,0.96096456
84610,9,0.8182418
116449,2,0.9690776
24760,9,0.7039127
261888,8,0.47604096
133328,13,0.8940861
196614,5,0.92378575
238453,3,0.9242329
