id,rating_mean,rating_count,bayesian_rating
221651,2.0,1,3.6937097821248646
221655,5.0,1,4.693709782124865
221660,5.0,1,4.693709782124865
221662,5.0,1,4.693709782124865
221675,5.0,3,4.816225869274919
221679,5.0,1,4.693709782124865
221682,3.0,1,4.027043115458198
221683,5.0,12,4.934366381883899
221684,5.0,2,4.770282336593649
221685,4.7,10,4.673427445531217
221686,5.0,3,4.816225869274919
221689,4.0,1,4.3603764487915315
221693,4.0,1,4.3603764487915315
221694,3.5,2,4.020282336593649
221696,5.0,2,4.770282336593649
221697,4.5,6,4.510141168296824
221699,4.25,12,4.291509239026757
221701,4.0,1,4.3603764487915315
221705,4.714285714285714,7,4.675681038486066
221706,5.0,1,4.693709782124865
221710,4.0,1,4.3603764487915315
221711,5.0,2,4.770282336593649
221712,5.0,2,4.770282336593649
221716,4.0,2,4.270282336593649
221717,5.0,2,4.770282336593649
221718,4.5,2,4.520282336593649
221721,5.0,1,4.693709782124865
221723,5.0,2,4.770282336593649
221727,5.0,1,4.693709782124865
221728,4.0,1,4.3603764487915315
221731,4.75,8,4.70811293463746
221733,5.0,1,4.693709782124865
221737,4.5,2,4.520282336593649
